sku,ean,regular_price,stock_quantity,stock_status,manage_stock,post_title,brand
36470,4002888364706,2.23,19,instock,yes,"LINDY 36470 Black Line HDMI Cable, HDMI 2.0 (M) to HDMI 2.0 (M), 0.5m, Black & Red, Supports UHD Resolutions up to 4096x2160@60Hz, Triple Shielded Cable, Corrosion Resistant Copper Coated Steel with 30AWG Conductors, Retail Polybag Packaging",LINDY
B760M-HDV/M.2 D4,4710483942020,51.85,185,instock,yes,"ASRock B760M-HDV/M.2 D4 Intel 1700 Socket Motherboard, Micro-ATX, 2x DDR4 Slots, 2x M.2 Sockets, GbE LAN, 1x D-Sub / 1x DisplayPort / 1x HDMI Port",ASROCK
KM7321WGY-UK,5397184357446,54.5,582,instock,yes,"Dell KM7321W Premier Multi-Device Keyboard and Mouse Combo, 2.4GHz / Bluetooth 5.0 Wireless, 12 programmable keys for PC and Laptop, QWERTY UK English Layout, Sliver",DELL
570-AAIR,0884116194750,5.85,156,instock,yes,"Dell MS116 Wired USB Mouse, 2-Buttons, 1000dpi and Optical Tracking, Ambidextrous Design for PC, Mac and Laptop, Black",DELL
KF432C16BBK2/32,KF432C16BBK2/32,346.27,10,instock,yes,"Kingston FURY Beast KF432C16BBK2/32 32GB (2x 16GB) DIMM System Memory, 3200MHz, DDR4, CL16, Black, Intel XMP",KINGSTON
ERT-601B,5053118642643,0.73,1,instock,yes,RJ45 (M) to RJ45 (M) CAT6 1m Blue OEM Moulded Boot Copper UTP Network Cable,TARGET
TM8FPK500G0C101,765441062054,63.08,22,instock,yes,"Team MP44L (TM8FPK500G0C101) 500GB NVMe SSD, PCIe Gen4, M.2 Interface, 2280, Read 5000 MB/s, Write 3700 MB/s, 5 Year Warranty",TEAM
KF556C40BB-16,740617325713,167.87,183,instock,yes,Kingston FURY Beast KF556C40BB-16 16GB 5600MHz DDR5 DIMM System Memory,KINGSTON
KCP556SD8-32,740617335040,330.48,24,instock,yes,"Kingston KCP556SD8-32 32GB (1x 32GB) SODIMM System Memory, 5600MHz, DDR5, CL46",KINGSTON
TL-SL1218MP,6935364099817,85.9,5,instock,yes,TP-Link TL-SL1218MP 16-Port Metal 10/100Mbps + 2-Port Gigabit Unmanaged PoE Switch (192W),TP-LINK
DTXM/128GB,740617326376,6.55,506,instock,yes,"Kingston DataTraveler ExodiaM DTXM/128GB USB Flash Drive, 128GB, USB 3.2, Red / Black, Moving Cap Design",KINGSTON
NLHDMI-HSV03,5055781225314,6.67,23,instock,yes,HDMI 1.4 (M) to SVGA & Audio (F) Black OEM Converter Adapter,TARGET
OC200,6935364084233,74.07,220,instock,yes,TP-Link Omada OC200 Hardware Cloud Controller,TP-LINK
BW029EU,4260052193181,53.33,35,instock,yes,"be quiet! Pure Loop 3 Liquid CPU Cooler, Universal Socket, 360mm Radiator, 3 x Pure Wings 3 120mm PWM High Speed, 3-year manufacurer's warranty.",BEQUIET
MA530,6957939002183,3.51,120,instock,yes,Mercusys MA530 Bluetooth Nano USB Adapter,MERCUSYS
EAP225-OUTDOOR,6935364083571,48.68,258,instock,yes,TP-Link Omada EAP225-Outdoor AC1200 Wireless MU-MIMO Gigabit Indoor/Outdoor Access Point,TP-LINK
URT-602K,5053118398731,0.73,3,instock,yes,RJ45 (M) to RJ45 (M) CAT5e 2m Black OEM Moulded Boot Copper UTP Network Cable,TARGET
EP2-06606,EP2-06606,178.12,16,instock,yes,Microsoft Office 2024 Home & Business Software Latest Version - Electronic Download,MICROSOFT
63DFKAT4UK,0196802905176,85.97,29,instock,yes,"Lenovo ThinkVision S27i-30, 27 Inch, Full HD (1920 x 1080), 100Hz, 4ms, 16:9, IPS, WLED Monitor, HDMI, VGA, Tilt Adjustable, 3 Year Warranty",LENOVO
BW027EU,4260052193167,40.66,9,instock,yes,"be quiet! Pure Loop 3 Liquid CPU Cooler, Universal Socket, 240mm Radiator, 2 x Pure Wings 3 120mm PWM High Speed, 3-year manufacurer's warranty.",BEQUIET
ERT-600-HB,5055781211522,0.45,77,instock,yes,RJ45 (M) to RJ45 (M) CAT6 0.25m Blue OEM Moulded Boot Copper UTP Network Cable,TARGET
TX201,4897098687840,15.87,40,instock,yes,TP-Link TX201 2.5 Gigabit PCI Express Network Adapter,TP-LINK
BGW63,4260052190630,88.04,86,instock,yes,"be quiet! BGW63 Shadow Base 800 FX  Mid Tower Gaming Case, 1 x USB Type-C / 1 x USB 3.2, Tinted and Tempered Glass Side Window Panel, Air-permeable Front and Top Cover, 4 x Pre-Installed ARGB LED Fans, E-ATX / ATX / M-ATX / Mini-ITX Compatible",BEQUIET
TL-SG116,693536408433,38.45,7,instock,yes,TP-Link TL-SG116 16-Port Metal Gigabit Desktop Network Switch,TP-LINK
SKC3000S/512G,0740617324402,127.83,56,instock,yes,"Kingston KC3000 (SKC3000S/512G) 512GB NVMe SSD, M.2 Interface, PCie Gen4, 2280, Read 7000MB/s, Write 3900MB/s, 5 Year Warranty",KINGSTON
BP008EU,4260052191385,104.26,11,instock,yes,"be quiet! Power Zone 2 1000W PSU - 80 PLUS Platinum, Semi-Passive Cooling, Pure Wings 3 Fan, PCIe 5.1/ATX 3.1 Compatibility, 10-Year Warranty",BEQUIET
UD256GEX3L1-C,4711085947369,47.95,12,instock,yes,"Adata Premier Extreme 256GB microSDXC SD7.1 Express Card, Nintendo Switch 2 Ready",ADATA
36474,4002888364744,4.39,22,instock,yes,Lindy 36474 5m HDMI (M) 2.0 High Speed Black Line 4096x2160@60Hz Cable with Ethernet - Black,LINDY
EP2-06798,EP2-06798,88.42,1000,instock,yes,Microsoft Office Home 2024 Medialess - Electronic Download,MICROSOFT
90-APRA36-BAAGA6,4711581493537,46.73,3,instock,yes,"ASRock Pro 360 ARGB AIO Liquid CPU Cooler, 360mm Radiator, Triple 120mm PWM Fans, Addressable RGB, Intel LGA1700/1851 & AMD AM5/AM4 Compatible",ASROCK
KF556C40BBK2-16,0740617325935,185.68,100,instock,yes,"Kingston FURY Beast KF556C40BBK2-16 16GB (2x 8GB) DIMM System Memory, 5600MHz, DDR5, CL40, Black, Intel XMP",KINGSTON
NLMOB-C-LT-2M,055781249877,5.56,6,instock,yes,"TARGET NLMOB-C-LT-2M Data Cable, USB 2.0 Type-C (M) to Apple Lightning (M), 2m, White, MFI Certified, 9V 2.2A Charging Power, White PVC Jacket, OEM Polybag Packaging",TARGET
KF556S40IBK2-64,0740617331646,670.69,2,instock,yes,"Kingston FURY Impact KF556S40IBK2-64 64GB (2x 32GB) SODIMM System Memory, 5600MHz, DDR5, CL40, Intel XMP",KINGSTON
ME60X,6957939001674,23.58,66,instock,yes,Mercusys ME60X AX1500 Wi-Fi Range Extender,MERCUSYS
B760 PRO RS,4710483942044,78.01,1,instock,yes,"ASRock B760 PRO RS Intel 1700 Socket Motherboard, ATX, 4x DDR5 Slots, 3x M.2 Socket, Fitted I/O Shield, 2.5GbE LAN, 1x DisplayPort / 1x HDMI Port",ASROCK
TAPO L530E,1210002613224,6.6,60,instock,yes,"TP-Link Tapo L530E Smart Wi-Fi Light Bulb, Multicolor, E27",TP-LINK
41899,4002888418997,3.13,13,instock,yes,"LINDY 41899 USB Adapter, USB 3.2 Type-C (M) to USB 3.2 Type-A (F), Adapter, Black, Supports Data Transfer Speeds up to 10Gbps, Robust PVC Housing & Nickel Connectors, Retail Polybag Packaging",LINDY
36772,4002888367721,3.74,14,instock,yes,"Lindy 36772 2m 8K60Hz HDMI Cable, Black Line",LINDY
ARCHER TX20U PLUS,4897098689974,23.4,40,instock,yes,TP-Link Archer TX20U Plus AX1800 High Gain Dual Band Wi-Fi 6 USB Adapter,TP-LINK
B760M-HDV/M.2,4710483943485,59.11,13,instock,yes,"ASRock B760M-HDV/M.2 Intel 1700 Socket Motherboard, Micro-ATX, 2x DDR5 Slots, 2x M.2 Sockets, 2.5GbE LAN, 1x D-Sub / 1x DisplayPort / 1x HDMI Port",ASROCK
KF564C32RSK2-32,0740617329780,355.16,15,instock,yes,"Kingston FURY Renegade KF564C32RSK2-32 32GB (2x 16GB) DIMM System Memory, 6400MHz, DDR5, CL32, Silver, Intel XMP",KINGSTON
KVR32N22D8/32,740617305975,205.59,8,instock,yes,"Kingston ValueRAM KVR32N22D8/32 32GB (1x 32GB) DIMM System Memory, 3200MHz, DDR4, CL22",KINGSTON
TM8FP6512G0C101,0765441048089,62.3,9,instock,yes,"Team MP33 (TM8FP6512G0C101) 512GB NVMe SSD, M.2 Interface, PCIe Gen3, 2280, Read 1600MB/s, Write 1000MB/s, 3 Year Warranty",TEAM
TX1364GC01,4711430803739,7.2,2,instock,yes,"Team TX1364GC01 2 in 1 Dual OTG 64GB Flash Drive, X1 USB 3.2 Gen1, Type C & A, Plug and Play",TEAM
ST20000VE003,8719706436885,612.43,25,instock,yes,Seagate ST20000VE003 SkyHawk AI 20TB SATA Hard Drive 512MB Cache,SEAGATE
BL097,4260052188897,14.69,51,instock,yes,"be quiet! Silent Wings 4 PWM High Speed Black Fan, 140mm, 1900RPM, 4-Pin PWM Fan Connector, Black Frame, Black Blades, Optimized Fan Blades for High End Performance, 2 Mounting Options",BEQUIET
90-UXS120-GFGABA,4711581491083,112.14,12,instock,yes,"ASRock SL-1200GW 1200W ATX Power Supply Unit, 80 PLUS GOLD Certified, 135mm Striped Axial FDB Fan, High Efficiency PSU",ASROCK
BW023,4260052191156,83.06,21,instock,yes,"be quiet! Light Loop 360mm AIO CPU Water Cooler, High-Performance ARGB Lighting, Triple 120mm PWM Fans, Ultra-Quiet Operation, Easy Maintenance, Intel/AMD Compatible, White",BEQUIET
T253X7002T0C101,394926439316,149.59,93,instock,yes,"Team QX2 (T253X7002T0C101) 2TB 2.5 Inch SSD, Sata 3 Interface, Read 560MB/s, Write 550MB/s, 3 Year Warranty",TEAM
ERT-600B,5053118465525,0.54,3,instock,yes,RJ45 (M) to RJ45 (M) CAT6 0.5m Blue OEM Moulded Boot Copper UTP Network Cable,TARGET
99DP-002LOCK,5053118326529,2.92,197,instock,yes,DisplayPort 1.2 (M) to DisplayPort 1.2 (M) 2m Black OEM Display Cable,TARGET
HDMINIDP-HDMI,5053118015102,4.77,12,instock,yes,Mini DisplayPort (M) to HDMI (F) White OEM Converter Adapter,TARGET
ER7206,6935364072407,101.59,3,instock,yes,TP-Link Omada TL-ER7206 SafeStream Gigabit Multi-WAN VPN Router,TP-LINK
BGW76,4260052192832,71.8,37,instock,yes,"be quiet! BGW50 Pure Base Pro 501 DX Full Tower Gaming Case, 1 x USB Type-C / 4 x USB 3.0, Tempered Glass Front Window Panel, 2 x Pure Wings Fans, Integrated ARGB Lighting, ATX / M-ATX / Mini-ITX Compatible",BEQUIET
HDHDPORT-001CAB,5053118792010,3.96,7,instock,yes,DisplayPort 1.2 (M) to DVI-D (F) Black OEM Adapter,TARGET
MP500 KIT,6957939000530,24.7,28,instock,yes,Mercusys MP500 KIT AV1000 Gigabit Powerline Starter Kit (UK Plug),MERCUSYS
DTKN/64GB,740617309102,8.89,58,instock,yes,Kingston DataTraveler Kyson 64GB USB 3.2 Capless Metal USB Flash Drive,KINGSTON
36730,4002888367301,0.92,49,instock,yes,"Lindy 36730 0.2m USB 2.0 Type A to Micro-B Cable, Anthra Line",LINDY
ARCHER TX30U PLUS,1210002603621,23.49,60,instock,yes,TP-Link ARCHER TX30U PLUS AX1800 Dual Antennas High Gain Wireless USB Adapter,TP-LINK
B760M-X GEN5,4711581492356,61.46,9,instock,yes,"ASRock B760M-X Gen5 Intel 1700 Socket Motherboard, Micro-ATX, 2x DDR5 Slots, 2x M.2 Socket, 2.5GbE LAN, 1x DisplayPort / 1x HDMI Port",ASROCK
36473,4002222364737,3.14,9,instock,yes,Lindy 36473 3m HDMI (M) 2.0 High Speed Black Line 4096x2160@60Hz Cable with Ethernet - Black,LINDY
BW028EU,4260052193174,46.9,21,instock,yes,"be quiet! Pure Loop 3 Liquid CPU Cooler, Universal Socket, 280mm Radiator, 2 x Pure Wings 3 140mm PWM High Speed, 3-year manufacurer's warranty.",BEQUIET
KF552C40BBK2-16,740617325959,185.68,10,instock,yes,"Kingston FURY Beast KF552C40BBK2-16 16GB (2x 8GB) DIMM System Memory, 5200MHz, DDR5, CL40, Black, Intel XMP",KINGSTON
N10P6,5397184978764,570.0,84,instock,yes,"Dell Pro QVS1260 Slim Desktop PC, Intel Core Ultra 5 225, 16GB DDR5-SDRAM, 512GB SSD, Windows 11 Pro with Keyboard and Mouse",DELL
URT-601B,5053118898316,0.47,250,instock,yes,RJ45 (M) to RJ45 (M) CAT5e 1m Blue OEM Moulded Boot Copper UTP Network Cable,TARGET
DTSE9G3/64GB,0740617341270,9.34,50,instock,yes,"Kingston DataTraveler SE9 G3 64GB USB 3.2 USB Flash Drive, Gold",KINGSTON
USB3C-921,5055781233784,3.19,174,instock,yes,"TARGET USB3C-921 Data Cable, USB 3.1 Type-A (M) to USB 3.1 Type-C (M), 1m, Black, 10Gbps Data Transfer Rate, Supports up to 3A 20V (60W), USB Power Delivery v2.0, OEM Polybag Packaging",TARGET
SXS1000R/1000G,0740617343748,151.29,6,instock,yes,"Kingston XS1000 Red (SXS1000R/1000G) 1TB Portable External SSD, Read 1050MB/s, Write 1000MB/s, USB 3.2 Gen 2, 5 Year Warranty",KINGSTON
8X229A6,0197498433080,34.25,1370,instock,yes,Plantronics Blackwire 3225 Stereo USB-C Headset with 3.5mm Jack & USB-C/A Adapter (Bulk Pack- Non-Retail),PLANTRONICS
TUSDH16GCL10U03,0765441038226,3.69,428,instock,yes,Team 16GB Micro SDHC Class 10 UHS-I Flash Card with Adapter,TEAM
TL-SG1024,6935364020101,62.7,6,instock,yes,TP-Link TL-SG1024 24-Port Metal Gigabit Rackmount Network Switch,TP-LINK
DTDUO3CG3/128GB,740617328165,16.13,125,instock,yes,"Kingston DataTraveler DTDUO3CG3/128GB 128GB MicroDuo USB OTG Flash Drive, 3C, USB-C and Type A",KINGSTON
TL-WA850RE,6935364070397,13.3,20,instock,yes,TP-Link TL-WA850RE N300 Universal Range Extender,TP-LINK
99CDL2-1602,5055781209833,0.63,164,instock,yes,USB 2.0 A (M) to USB 2.0 Micro B (M) 1.8m Black OEM Data Cable,TARGET
BK040,4260052192498,23.01,33,instock,yes,"be quiet! Pure Rock 3 LX CPU Cooler, Universal Socket, Pure Wings 3 PWM Fan, 2000RPM, only 31.2dB(A) at maximum fan speed, 190W TDP, 3-year manufacturer's warranty",BEQUIET
73415,4002888734158,4.61,146,instock,yes,LINDY 73415 18W USB Type A Charger,LINDY
77DVHD-3302,5055781210211,1.63,21,instock,yes,HDMI 1.4 (M) to DVI-D (M) 2m Black OEM Display Cable,TARGET
TAPO RV30 MAX PLUS,8885020625141,190.69,45,instock,yes,TP-Link Tapo RV30 Max Plus Robot Vacuum Cleaner & Auto-Empty Dock,TP-LINK
DT70/128GB,740617305418,6.55,88,instock,yes,"Kingston DT70/128GB DataTraveler 128GB USB Flash Drive, USB 3.2,  USB-C, Gen1, 80MB/s, Cap Design, Black, Retail.",KINGSTON
36771,4002888367714,3.02,16,instock,yes,Lindy 36771 1M HDMI (M) 2.1 Ultra High Speed Black Line 7680x4320@60Hz Cable - Black,LINDY
TX13128GC01,4711430803746,11.38,8,instock,yes,"Team TX13128GC01 2 in 1 Dual OTG 128GB Flash Drive, X1 USB 3.2 Gen1, Type C & A, Plug and Play",TEAM
AUV128-64G-RBE,4713435797150,4.05,30,instock,yes,"Adata UV128 64GB USB 3.2 Gen 1 Flash Drive, Capless Design, Black/Blue",ADATA
B850M PRO RS,4711581490345,83.54,2,instock,yes,"ASRock B850M Pro RS AMD AM5 Socket Motherboard, Micro-ATX, 4x DDR5 Slots, 3x M.2 Sockets, Fitted I/O Shield, 2.5GbE LAN, 1x DisplayPort / 1x HDMI Port",ASROCK
KVR32S22D8/32,740617310924,225.59,9,instock,yes,"Kingston ValueRAM KVR32S22D8/32 32GB (1x 32GB) SODIMM System Memory, 3200MHz, DDR4, CL22",KINGSTON
KVR56U46BD8-32,740617332865,330.48,7,instock,yes,"Kingston ValueRAM KVR56U46BD8-32 32GB (1x 32GB) DIMM System Memory, 5600MHz, DDR5, CL46",KINGSTON
21432964,5397231019112,19.92,68,instock,yes,"Norton 360 Deluxe, Antivirus Software for 5 Devices, 1-year Subscription, Includes Secure VPN, Password Manager and 50GB of Cloud Storage, PC/Mac/iOS/Android, Retail Boxed",NORTON
AUV128-32G-RBE,4713435796641,3.74,243,instock,yes,"Adata UV128 32GB USB 3.2 Gen 1 Flash Drive, Black and Blue",ADATA
BX80768245KF,5032037282109,125.0,21,instock,yes,"Intel Core Ultra 5 245KF 14 Core Processor, 14 Threads, 3.6GHz up to 5.2GHz, LGA 1851 Arrow Lake Processor, 24MB Cache,125w, 159w Maximum Turbo Power, No Graphics, No Cooler",INTEL
KF552C40BB-16,740617324372,167.87,11,instock,yes,"Kingston FURY Beast KF552C40BB-16 16GB (1x 16GB) DIMM System Memory, 5200MHz, DDR5, CL40, Black, Intel XMP",KINGSTON
BZ003,4260052188521,8.89,45,instock,yes,"be quiet! (BZ003) MC1 Pro M.2 SSD Cooler, Integrated Heat Pipe, Single/Double Side Compatibility, 2280 Size",BEQUIET
ERT-605K,5053118007558,2.25,5,instock,yes,RJ45 (M) to RJ45 (M) CAT6 5m Black OEM Moulded Boot Copper UTP Network Cable,TARGET
LS1005G,0845973085469,8.25,146,instock,yes,TP-Link LiteWave LS1005G 5-Port 10/100/1000Mbps Gigabit Desktop Network Switch,TP-LINK
HDHDPORT-005CAB,5055781214530,4.21,13,instock,yes,DisplayPort 1.2 (M) to HDMI 1.4 (F) Black OEM Converter Adapter,TARGET
TL-SG108,0845973021153,16.7,39,instock,yes,TP-Link TL-SG108 8-Port Metal 10/100/1000Mbps Gigabit Desktop Network Switch,TP-LINK
ER605,6935364089597,36.21,54,instock,yes,TP-Link Omada ER605 (TL-R605) Omada Gigabit VPN Router,TP-LINK
SKC3000D/4096G,0740617324297,430.11,21,instock,yes,"Kingston KC3000 (SKC3000D/4096G) 4TB NVMe SSD, M.2 Interface, PCIe Gen4, 2280, Read 7000MB/s, Write 7000MB/s, 5 Year Warranty",KINGSTON
BK036,4260052190746,57.9,118,instock,yes,"be quiet! Dark Rock Pro 5 CPU Cooler, INTEL/AMD Socket, 2 x Silent Wings Fans, 2000RPM, 7 Heat Pipes & Speed Switch",BEQUIET
TAPO L530B,1210002613200,6.6,60,instock,yes,"TP-Link Tapo L530B Smart Wi-Fi Light Bulb, Multicolor, B22",TP-LINK
21485888,5397231038830,14.46,20,instock,yes,"Norton VPN 5 Device 1-year Subscription, Includes Change Location, Content Access, Auto Connect and Ad Tracker Blocking, PC/Mac/iOS/Android, Retail Boxed",NORTON
AHD710P-2TU31-CYL,4713218460684,84.45,18,instock,yes,"Adata HD710 Pro Durable 2TB USB 3.1 Portable External Hard Drive IP68 Waterproof, Shockproof, Dustproof, Yellow",ADATA
C11CK46401,8715946698793,130.09,3,instock,yes,"Epson Expression Photo XP-8700 C11CK46401 Printer,  Colour, Wireless, All-in-One, A4, Dual Paper Tray",EPSON
AHD710P-1TU31-CRD,4713218460417,68.6,18,instock,yes,"Adata HD710 Pro Durable 1TB USB 3.1 Portable External Hard Drive IP68 Waterproof, Shockproof, Dustproof, Red",ADATA
SFYR2S/1T0,0740617349481,294.49,2,instock,yes,"Kingston FURY Renegade (SFYR2S/1T0 ) 1TB NVMe SSD, M.2 Interface, PCIe 5.0 x4 NVMe, 2280, Up to 14,200MB/s read, 11,000MB/s write, Limited 5-year warranty with free technical support.",KINGSTON
99CDL2-022,5055781239410,0.63,42,instock,yes,USB 2.0 A (M) to USB 2.0 A (F) 1.8m Black OEM Extension Data Cable,TARGET
X870 PRO RS,4710483949326,126.87,1,instock,yes,"ASRock X870 PRO RS AMD AM5 Socket Motherboard, ATX, 4x DDR5 Slots, 3x M.2 Sockets, Fitted I/O Shield, 2.5GbE LAN, 1x HDMI Port / 2x USB-C (USB4)",ASROCK
EP2-32335,0196388538560,75.15,1,instock,yes,Microsoft 365 Family Medialess 1 Year Subscription 6 Users - Retail Boxed FY25H2,MICROSOFT
TL-PA8033P KIT,1210002614498,70.8,32,instock,yes,TP-Link TL-PA8033P KIT AV1300 Passthrough Powerline Kit,TP-LINK
B760M PRO RS,4710483942723,79.59,103,instock,yes,"ASRock B760M PRO RS Intel 1700 Socket Motherboard, Micro-ATX, 4x DDR5 Slots, 3x M.2 Socket, Fitted I/O Shield, 2.5GbE LAN, 1x DisplayPort / 1x HDMI Port",ASROCK
TL-SG1210P,6935364052997,60.32,30,instock,yes,TP-Link TL-SG1210P 10-Port Metal Gigabit Desktop Switch with 8-Port PoE+ (63W),TP-LINK
21485903,5397231038854,14.06,15,instock,yes,"Norton Mobile Scam Defence 1 Device 1-year Subscription,Includes AI-Powered Scam Protection Across Email, Texts, Calls and Web, iOS and Android Retail Boxed",NORTON
BL094,4260052188866,13.49,177,instock,yes,"be quiet! Silent Wings 4 PWM High Speed Black Fan, 120mm, 2500RPM, 4-Pin PWM Fan Connector, Black Frame, Black Blades, Optimized Fan Blades for High End Performance, 2 Mounting Options",BEQUIET
BW022,4260052191132,79.59,18,instock,yes,be quiet! Light Loop 360mm AIO Liquid Cooler - High-Performance ARGB All-in-One Water Cooling System with Triple Light Wings LX PWM Fans,BEQUIET
64B5KAT1UK,0198156629012,65.48,34,instock,yes,"Lenovo ThinkVision S24-4e, Full HD (1920 x 1080), 100Hz, 4ms, 16:9, IPS, WLED Monitor, HDMI, VGA, Tilt Adjustable, 3 Year Warranty",LENOVO
